country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,total_servings
Senegal,9,1,7,0.3,17
Serbia,283,131,127,9.6,541
Seychelles,157,25,51,4.1,233
Sierra Leone,25,3,2,6.7,30
Singapore,60,12,11,1.5,83
Slovakia,196,293,116,11.4,605
Slovenia,270,51,276,10.6,597
Solomon Islands,56,11,1,1.2,68
Somalia,0,0,0,0.0,0
South Africa,225,76,81,8.2,382
Spain,284,157,112,10.0,553
Sri Lanka,16,104,0,2.2,120
Sudan,8,13,0,1.7,21
Suriname,128,178,7,5.6,313
Swaziland,90,2,2,4.7,94
Sweden,152,60,186,7.2,398
Switzerland,185,100,280,10.2,565
Syria,5,35,16,1.0,56
Tajikistan,2,15,0,0.3,17
Thailand,99,258,1,6.4,358
Macedonia,106,27,86,3.9,219
Timor-Leste,1,1,4,0.1,6
Togo,36,2,19,1.3,57
Tonga,36,21,5,1.1,62
Trinidad & Tobago,197,156,7,6.4,360
Tunisia,51,3,20,1.3,74
Turkey,51,22,7,1.4,80
Turkmenistan,19,71,32,2.2,122
Tuvalu,6,41,9,1.0,56
Uganda,45,9,0,8.3,54
Ukraine,206,237,45,8.9,488
United Arab Emirates,16,135,5,2.8,156
United Kingdom,219,126,195,10.4,540
Tanzania,36,6,1,5.7,43
USA,249,158,84,8.7,491
Uruguay,115,35,220,6.6,370
Uzbekistan,25,101,8,2.4,134
Vanuatu,21,18,11,0.9,50
Venezuela,333,100,3,7.7,436
Vietnam,111,2,1,2.0,114
Yemen,6,0,0,0.1,6
Zambia,32,19,4,2.5,55
Zimbabwe,64,18,4,4.7,86
